"SUMA EXPRESS FUENLABRADA","","","","","","","","","","","","",""
"Calle Almeania 4 LOCAL","","","","","","","","","","","","",""
"28943","FUENLABRADA","","","","","","","","","","","",""
"Tel:","932924824","","","","","","","","","","","",""
"Web:","","","","","","","","","","","","",""
"Email:","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Listado de Ventas por Tiendas","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"De fecha","01/08/2024","","a fecha","31/12/2024","","","","","","","","",""
"Tiendas : ","0001 - Tienda 0001","","","","","","","","","","","",""
"Forma de pago","","","","","","Euros","% del Total","","","","","",""
"Efectivo","","","","","","44,426.26 €","","56.10%","","","","",""
"Tarjeta de credito","","","","","","34,767.27 €","","43.90%","","","","",""
"Total Formas de Pago","","","","","","","79,193.53 €","","","Cargos cuenta pagados","","",""
"Total Ventas","","","","","","","79,193.53 €","","","","","0.00 €",""
"Desglose por OFERTA :","","","","","Euros OFERTA","","( % )","","","","Euros NO OFERTA","","( % )"
"Ventas Autoserv.","","","","","0.00 €","","0.00%","","","","413.16 €","100.00%",""
"Ventas Artículos","","","","","2,545.95 €","","3.23%","","","","76,234.42 €","96.77%",""
"Coste Artículos","","","","","1,975.90 €","","3.64%","","","","52,268.43 €","96.36%",""
"Ganancia teórica","","","","","270.54 €","","1.64%","","","","16,183.29 €","98.36%",""
"","","","","","","","","16,453.83 €","","","","",""
"Ganancia en Artículos codificados","","","","","","","","","23.27%","","","",""
"Número de líneas Artículos Sin Coste","","","","","","","","63","","","","",""
"Desglose por TICKETS :","","","","","","","","","","","","",""
"Número total de tickets emitidos","","","","","","","21862","","","","","",""
"Importe medio de los tickets","","","","","","","3.62 €","","","","","",""
"Número medio de líneas de detalle","","","","","","","1.97","","","","","",""
"Total Ventas sin ofertas","","","","","","","","76,647.58 €","","","","",""
"Total Ventas","","","","","","","79,193.53 €","","","","","",""
"Total Facturas Ventas","","","","","","","2.70 €","","Tickets + facturas","","","79.196,",""
"","","","","","","","","","","","","23 €",""
"","","","","","","","","","","","","",""
"Cupón Importe","","","","","","","23.00 €","","","","","",""
"Cupón Dto.","","","","","","","0.00 €","","","","","",""
"Sección","","","","","","","","Venta Directa","","Tecla Directa","","",""
"","Desconocida","","","","","","","","63.78 €","0.00 €","","0.08%",""
"01","VARIOS","","","","","","","","0.00 €","199.60 €","","0.25%",""
"A0 ","PROD. FRESCOS","","","","","","","","5,791.62 €","0.00 €","","7.31%",""
"A3 ","PERF/DROG/BAZAR","","","","","","","","7,627.72 €","0.00 €","","9.63%",""
"AC","CARNE","","","","","","","","1,806.37 €","212.12 €","","2.55%",""
"AD ","CHARCUTERIA","","","","","","","","4,137.38 €","0.00 €","","5.22%",""
"AE","FRUTA","","","","","","","","1,357.99 €","24.44 €","","1.75%",""
"AF","PAN","","","","","","","","8,591.77 €","0.00 €","","10.85%",""
"AQ ","ALIM. Y BEBIDAS","","","","","","","","49,160.44 €","0.00 €","","62.08%",""
"","","","","","","","","","","","","",""
"viernes, 12 de septiembre de 2025","","","","","","","","","","","Página","1",""
"Listado de Ventas por Tiendas","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"De fecha","01/08/2024","","a fecha","31/12/2024","","","","","","","","",""
"Tiendas : ","0001 - Tienda 0001","","","","","","","","","","","",""
"C4 ","GENERICA","","","","","","","","243.30 €","0.00 €","","0.31%",""
"ZXY14","Cupón Importe","","","","","","","","0.00 €","-23.00 €","","-0.03%",""
"","","","","","","","","78,780.37 €","","413.16 €","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"viernes, 12 de septiembre de 2025","","","","","","","","","","","Página","2",""
