"SUMA EXPRESS FUENLABRADA","","","","","","","","","",""
"Calle Almeania 4 LOCAL","","","","","","","","","",""
"28943","FUENLABRADA","","","","","","","","",""
"Tel:","932924824","","","","","","","","",""
"Web:","","","","","","","","","",""
"Email:","","","","","","","","","",""
"","","","","","","","","","",""
"Informe ABC","","","","De fecha","01/08/2024","","a fecha","31/08/2025","",""
"Artículo","Descripción","Família","Cantidad","","Importe C.","","Importe V.","Margen C.","Margen V.",""
"","","","","","","","","","",""
"006928","","","0.00","","0.00","","0.00","100.00%","100.00%",""
"221505","","","2.00","","1.44","","2.00","26.26%","20.80%",""
"063556","* ACEITUNA EL ","AQ JV","9.00","","11.48","","17.07","35.18%","26.03%",""
"035147","* ACEITUNA ","AQ JV","2.00","","4.98","","6.59","20.30%","16.87%",""
"013125","* ACEITUNA ","AQ JV","44.00","","30.69","","48.65","44.11%","30.61%",""
"004727","* ACTIVIA ","A0 LB","11.00","","17.03","","22.69","28.10%","21.94%",""
"220323","* ACTIVIA KEFIR ","A0 LB","5.00","","2.65","","8.27","200.53%","66.73%",""
"026527","* ALMENDRA ","AQ JM","31.00","","41.01","","62.39","38.30%","27.70%",""
"014425","* ATUN CALVO ","AQ JQ","2.00","","5.46","","7.98","32.86%","24.73%",""
"088551","* BACALAO ","A0 K4","9.00","","55.59","","84.37","37.98%","27.52%",""
"013815","* BANDERILLA ","AQ JV","12.00","","13.80","","19.40","27.80%","21.75%",""
"8000691","* CALDO ","AQ JK","123.00","","207.05","","262.56","15.28%","13.26%",""
"044854","* CALDO ","AQ JK","69.00","","113.78","","154.42","23.39%","18.95%",""
"044855","* CALDO ","AQ JK","34.00","","55.05","","73.12","20.74%","17.18%",""
"044853","* CALDO ","AQ JK","28.00","","45.92","","62.88","24.49%","19.67%",""
"8000721","* CALDO ","AQ JK","90.00","","55.11","","93.37","54.00%","35.06%",""
"030260","* CERVEZA ","AQ J4","49.00","","42.00","","73.23","44.08%","30.60%",""
"087699","* CERVEZA ","AQ J4","23.00","","50.47","","69.29","13.46%","11.87%",""
"023825","* CERVEZA ","AQ J4","446.00","","221.20","","325.62","21.65%","17.80%",""
